ISSUER,CURRENCY,COUPON,YIELD,MOODY'S RATING,MATURITY DATE,BID,ASK,ISIN,Issue Date,ClosingPrice1,ClosingPrice2,ClosingPrice3,ClosingPrice4,ClosingPrice5,ClosingPrice6,ClosingPrice7,ClosingPrice8,ClosingPrice9,ClosingPrice10,ClosingPrice11
"Canada, Government of...",CAD,0.0075,1.38%,Aaa,2024-09-30,97.86,98.87,CA135087M508,7/11/2021,98.555,98.56,98.53,98.485,98.44,98.205,98.115,98.125,98.14,98.275,98.35
"Canada, Government of...",CAD,0.0125,1.44%,Aaa,2025-02-28,98.94,99.99,CA135087K528,10/10/2019,99.64,99.67,99.61,99.59,99.49,99.25,99.12,99.11,99.1,99.26,99.37
"Canada, Government of...",CAD,0.0225,1.47%,Aaa,2025-05-31,102.03,103.1,CA135087D507,6/29/2014,102.915,102.89,102.9,102.87,102.79,102.53,102.35,102.26,102.3,102.38,102.57
"Canada, Government of...",CAD,0.09,1.45%,Aaa,2025-05-31,123.84,124.97,CA135087VH40,8/1/1994,125.14,125.17,125.09,125.01,124.91,124.58,124.37,124.29,124.25,124.4,124.5
"Canada, Government of...",CAD,0.005,1.52%,Aaa,2025-08-31,95.97,97.06,CA135087K940,4/2/2020,96.66,96.72,96.77,96.77,96.68,96.43,96.26,96.15,96.19,96.31,96.49
"Canada, Government of...",CAD,0.0025,1.55%,,2026-02-28,94.4,95.42,CA135087L518,10/8/2020,95.11,95.17,95.12,95.14,95.04,94.75,94.53,94.5,94.52,94.7,94.87
"Canada, Government of...",CAD,0.015,1.55%,Aaa,2026-05-31,99.3,100.36,CA135087E679,7/20/2015,100.12,100.17,100.13,100.12,100.01,99.7,99.57,99.43,99.45,99.65,99.8
"Canada, Government of...",CAD,0.01,1.60%,Aaa,2026-08-31,97.39,97.42,CA135087L930,4/15/2021,97.66,97.7,97.67,97.695,97.585,97.24,97.02,96.96,97,97.225,97.4
"Canada, Government of...",CAD,0.0125,1.63%,Aaa,2027-02-28,97.66,98.68,CA135087M847,10/14/2021,98.41,98.475,98.4,98.44,98.31,97.955,97.7,97.66,97.685,97.94,98.185
"Canada, Government of...",CAD,0.01,1.60%,Aaa,2027-05-31,96.44,97.54,CA135087F825,8/2/2016,97.18,97.28,97.32,97.31,97.19,96.82,96.58,96.44,96.52,96.7,96.98
"Canada, Government of...",CAD,0.08,1.58%,Aaa,2027-05-31,132.04,133.1,CA135087VW17,4/30/1996,133.3,133.37,133.3,133.22,133.06,132.6,132.28,132.17,132.16,132.5,132.68
"Canada, Government of...",CAD,0.02,1.64%,Aaa,2028-05-31,101.82,102.93,CA135087H235,7/31/2017,102.395,102.475,102.375,102.395,102.245,101.795,101.47,101.41,101.45,101.82,102.125
"Canada, Government of...",CAD,0.0225,1.62%,Aaa,2029-05-31,103.83,104.95,CA135087J397,7/26/2018,104.44,104.59,104.6,104.6,104.38,103.98,103.63,103.47,103.59,104.02,104.36
"Canada, Government of...",CAD,0.0575,1.61%,Aaa,2029-05-31,127.93,129,CA135087WL43,2/1/1998,128.79,128.92,128.79,128.78,128.52,128.04,127.64,127.55,127.57,128.09,128.42
"Canada, Government of...",CAD,0.005,1.70%,,2030-11-30,89.74,90.78,CA135087L443,10/4/2020,90.21,90.36,90.25,90.28,90.05,89.59,89.29,89.2,89.25,89.79,90.12
"Canada, Government of...",CAD,0.015,1.74%,Aaa,2031-05-31,97.46,98.49,CA135087M276,4/25/2021,98,98.18,98.02,98.09,97.81,97.34,96.97,96.91,96.96,97.47,97.92
"Canada, Government of...",CAD,0.015,1.79%,Aaa,2031-11-30,-,-,CA135087N266,10/24/2021,97.4,97.59,97.42,97.5,97.21,96.73,96.35,96.3,96.35,96.9,97.36
